Team_name,Category,Country,Drive_Folder,Institution_Address,Institution_Name,Institution_Short_Name,Logo,Social_Facebook,Social_Instagram,Social_Twitter,Website_Url,Former_Name
Team Infinity Racers,combustion,IN,,,Rajiv Gandhi Proudyogiki Vishwavidyalaya,UIT-RGPV,,https://www.facebook.com/Teaminfinityracers/,https://www.instagram.com/teaminfinityracers/,https://twitter.com/infinityracers,http://teaminfinityracers.com/,
Team Mechnext Racing,combustion,IN,,,YMCA University of Science and Technology,YMCA UST,,https://www.facebook.com/mechnext.baja/,https://www.instagram.com/team_mechnext_racing/,,,
Formula MITE Racing,combustion,IN,,,Mangalore Institute Of Technology And Engineering,MITE,,,,,,
Veloce Racing,combustion,IN,,,Vishwakarma Institute of Technology,Vishwakarma,,https://www.facebook.com/TeamVeloce,https://www.instagram.com/veloce_racing,,,
Triumphant Racers,combustion,IN,,,Bharati Vidyapeeth College of Engineering,BVCOE Navi Mumbai,,https://www.facebook.com/triumphantracers,https://www.instagram.com/triumphantracers,https://twitter.com/tr_fsae,,
Acceleracers,combustion,IN,,,MIT-World Peace University,MIT-WPU,,https://m.facebook.com/profile.php?id=215036018549080&ref=content_filter,https://www.instagram.com/team.acceleracers/,,,
Shaurya Racing,combustion,IN,,,VIT Chennai,VIT Chennai,,http://facebook.com/shaurya.vitc,http://instagram.com/shaurya_racing,http://twitter.com/Shaurya_Racing,,
Manab Racing,combustion,IN,,,Haldia Institute of Technology,HIT Haldia,,https://www.facebook.com/teamasphalthit/,https://www.instagram.com/manab.racing/,https://twitter.com/manabracinghit,,
Bullethawk Racing,combustion,IN,,,Netaji Subhas Institute of Technology,NSIT,,https://www.facebook.com/bullethawkracing/,https://www.instagram.com/bullethawkracing/,,http://www.bullethawkracing.com,
Team Grease Monkeys,combustion,IN,,,BITS Pilani KK Birla Goa Campus,BITS GA,,https://www.facebook.com/GreaseMonkeys.BITSGA/,https://instagram.com/greasemonkeys.bitsGA/,,http://teamgreasemonkeys.in,
Team Vegadooth Racing,combustion,IN,,,KLE Technological University,KLE Tech,,https://www.facebook.com/vegadooth.racing/,https://www.instagram.com/vegadooth.racing/,https://twitter.com/VegadoothRacing,,
Team Super Ignite,combustion,IN,,,Guru Nanak Institute of Technology,GNIT,,https://www.facebook.com/Teamsuperignite/,https://www.instagram.com/team_super_ignite/,,,
CRCE Formula Racing,combustion,IN,,,Fr. Conceicao Rodrigues College of Engineering,CRCE,,https://www.facebook.com/CRCEFormulaRacing,https://www.instagram.com/teamcfr,,,
NITKRacing,combustion,IN,,,National Institute of Technology KA, Surathkal,NITK Surathkal,,https://www.facebook.com/nitkracing/,,,http://nitkracing.com/,
Team Racing Pioneers,combustion,IN,,,Zeal College of Engineering and Research,ZCOER,,https://www.facebook.com/racingpioneers,https://www.instagram.com/racingpioneers,https://twitter.com/racingpioneers,http://www.zealeducation.com/,
Team Prahaar Racing,combustion,IN,,,Saraswati College of Engineering,SCOE,,https://www.facebook.com/TeamPrahaaR/,https://www.instagram.com/prahaarracing/,,http://prahaarracing.weebly.com/,
Illuminati Racers,combustion,IN,,,Lovely Professional University,LPU,,https://m.facebook.com/Lpulscc/,https://instagram.com/illuminatiracers?utm_source=ig_profile_share&igshid=1db3mp76ijq2r,,,
Traxion Racing,combustion,IN,,,Sri Venkateswara College of Engineering,SVCE,,https://www.facebook.com/TeamTraxion.SVCE/,https://www.instagram.com/traxion_racing/,,http://www.traxionracing.in/,
Automantra Racing,combustion,IN,,,Galgotias University,Galgotias,,https://www.facebook.com/automantraracing/,https://www.instagram.com/automantraracing/,https://twitter.com/AutomantraRacin,http://www.automantraracing.com/,
Team Dhrutaha,combustion,IN,,,Alva's Institute Of Engineering & Technology,AIET,,,,,,
Kreinto Racing,combustion,IN,,,Koneru Lakshmaiah Educational Foundation,KLEF,,https://www.facebook.com/Kreintoracing/,https://www.instagram.com/kreinto_racing/,https://twitter.com/Krrinto_racing,http://www.kreintoracing.com,
T-Rex Motorsports,combustion,IN,,,NBN Sinhgad School of Engineering,NBNSSOE,,https://www.facebook.com/inexorablemotorsports/,https://www.instagram.com/inexorable_motorsports/?hl=en,,,
